product_name,product_price,product_image,product_url,product_brand
Adidas Originals by Kanye West Yeezy 950 M 'Yeezy' Stiefel,4.188,https://cdn-images.farfetch-contents.com/14/50/35/63/14503563_22012177_300.jpg,/de/shopping/men/adidas-yeezy-adidas-originals-by-kanye-west-yeezy-950-m-yeezy-stiefel-item-11230937.aspx,adidas YEEZY
'SB Dunk Travis Scott Special Box' Sneakers,4.032,https://cdn-images.farfetch-contents.com/14/16/46/87/14164687_21073085_300.jpg,/de/shopping/men/nike-sb-dunk-travis-scott-special-box-sneakers-item-15237343.aspx,Nike
'Kyrie 6' High-Top-Sneakers,4.032,https://cdn-images.farfetch-contents.com/14/16/46/87/14164687_21073087_300.jpg,/de/shopping/men/nike-kyrie-6-high-top-sneakers-item-15010103.aspx,Nike
'Air Max 90 Current Premium' Sneakers,4.032,https://cdn-images.farfetch-contents.com/14/16/47/90/14164790_21073452_300.jpg,/de/shopping/men/nike-air-max-90-current-premium-sneakers-item-14164681.aspx,Nike
'NMD_R1' Sneakers,4.032,https://cdn-images.farfetch-contents.com/14/16/47/90/14164790_21073453_300.jpg,/de/shopping/men/adidas-nmdr1-sneakers-item-14085746.aspx,adidas
'Money Beast' High-Top-Sneakers,4.000,https://cdn-images.farfetch-contents.com/12/19/56/42/12195642_11771214_300.jpg,/de/shopping/men/philipp-plein-money-beast-high-top-sneakers-item-15160742.aspx,Philipp Plein
'Money Beast' High-Top-Sneakers,4.000,https://cdn-images.farfetch-contents.com/12/19/56/42/12195642_11771218_300.jpg,/de/shopping/men/philipp-plein-money-beast-high-top-sneakers-item-14769578.aspx,Philipp Plein
'Money Beast' High-Top-Sneakers,4.000,https://cdn-images.farfetch-contents.com/15/93/10/87/15931087_29726866_300.jpg,/de/shopping/men/philipp-plein-money-beast-high-top-sneakers-item-14017926.aspx,Philipp Plein
'Money Beast' High-Top-Sneakers,4.000,https://cdn-images.farfetch-contents.com/15/93/10/87/15931087_29732205_300.jpg,/de/shopping/men/philipp-plein-money-beast-high-top-sneakers-item-14017922.aspx,Philipp Plein
'Money Beast' Sneakers,4.000,https://cdn-images.farfetch-contents.com/15/93/10/38/15931038_29732200_300.jpg,/de/shopping/men/philipp-plein-money-beast-sneakers-item-14017921.aspx,Philipp Plein
'Money Beast' High-Top-Sneakers,4.000,https://cdn-images.farfetch-contents.com/15/93/10/38/15931038_29726864_300.jpg,/de/shopping/men/philipp-plein-money-beast-high-top-sneakers-item-14017920.aspx,Philipp Plein
Yeezy Boost 350 'Turtle Dove' Sneakers,3.985,https://cdn-images.farfetch-contents.com/14/15/55/83/14155583_18817905_300.jpg,/de/shopping/men/adidas-yeezy-yeezy-boost-350-turtle-dove-sneakers-item-12963719.aspx,adidas YEEZY
Espadrilles mit Kroko-Optik,3.969,https://cdn-images.farfetch-contents.com/14/15/55/83/14155583_18817910_300.jpg,/de/shopping/men/kiton-espadrilles-mit-kroko-optik-item-15999732.aspx,Kiton
Loafer mit Kroko-Effekt,3.866,https://cdn-images.farfetch-contents.com/14/69/67/44/14696744_26447225_300.jpg,/de/shopping/men/magnanni-loafer-mit-kroko-effekt-item-15585507.aspx,Magnanni
Yeezy Boost 350 'Pirate Black' Sneakers,3.781,https://cdn-images.farfetch-contents.com/14/69/67/44/14696744_26450584_300.jpg,/de/shopping/men/adidas-yeezy-yeezy-boost-350-pirate-black-sneakers-item-12960276.aspx,adidas YEEZY
Nike x Off-White 'Air Jordan 1' Sneakers,3.766,https://cdn-images.farfetch-contents.com/15/57/64/13/15576413_28016393_300.jpg,/de/shopping/men/nike-x-off-white-nike-x-off-white-air-jordan-1-sneakers-item-13157538.aspx,Nike X Off-White
Loafer mit mandelförmiger Kappe,3.703,https://cdn-images.farfetch-contents.com/15/57/64/13/15576413_28016395_300.jpg,/de/shopping/men/magnanni-loafer-mit-mandelformiger-kappe-item-14425298.aspx,Magnanni
'PG 1' Sneakers,3.620,https://cdn-images.farfetch-contents.com/15/54/39/76/15543976_27895857_300.jpg,/de/shopping/men/nike-pg-1-sneakers-item-14164814.aspx,Nike
'Air Jordan Union' Sneakers,3.620,https://cdn-images.farfetch-contents.com/15/54/39/76/15543976_27895858_300.jpg,/de/shopping/men/jordan-air-jordan-union-sneakers-item-14085635.aspx,Jordan
Nike x Off-White 'The 10: Blazer' High-Top-Sneakers,3.620,https://cdn-images.farfetch-contents.com/15/54/39/53/15543953_27895847_300.jpg,/de/shopping/men/nike-x-off-white-nike-x-off-white-the-10-blazer-high-top-sneakers-item-13157780.aspx,Nike X Off-White
'Air Jordan 1 Retro High OG' Sneakers,3.620,https://cdn-images.farfetch-contents.com/15/54/39/53/15543953_27895848_300.jpg,/de/shopping/men/jordan-air-jordan-1-retro-high-og-sneakers-item-13157697.aspx,Jordan
'Air Force 1 Low Retro' Sneakers,3.620,https://cdn-images.farfetch-contents.com/15/54/14/47/15541447_27895835_300.jpg,/de/shopping/men/nike-air-force-1-low-retro-sneakers-item-13031468.aspx,Nike
'Air Jordan 1 Retro High OG' Sneakers,3.620,https://cdn-images.farfetch-contents.com/15/54/14/47/15541447_27895834_300.jpg,/de/shopping/men/jordan-air-jordan-1-retro-high-og-sneakers-item-12960192.aspx,Jordan
'Jordan Air Ship PE New Beginnings' Sneakers,3.549,https://cdn-images.farfetch-contents.com/15/38/90/98/15389098_29234866_300.jpg,/de/shopping/men/jordan-jordan-air-ship-pe-new-beginnings-sneakers-item-15165659.aspx,Jordan
'Air Pippen 1' Sneakers,3.547,https://cdn-images.farfetch-contents.com/15/38/90/98/15389098_29234868_300.jpg,/de/shopping/men/nike-air-pippen-1-sneakers-item-14477866.aspx,Nike
'Phantom Kick$' High-Top-Sneakers,3.500,https://cdn-images.farfetch-contents.com/13/15/78/50/13157850_14625202_300.jpg,/de/shopping/men/philipp-plein-phantom-kick-high-top-sneakers-item-14768189.aspx,Philipp Plein
'Phantom Kick$' High-Top-Sneakers,3.500,https://cdn-images.farfetch-contents.com/13/15/78/50/13157850_14625203_300.jpg,/de/shopping/men/philipp-plein-phantom-kick-high-top-sneakers-item-14768187.aspx,Philipp Plein
'SB Dunk Ben & Jerry's' Sneakers,3.472,https://cdn-images.farfetch-contents.com/14/27/13/92/14271392_20466665_300.jpg,/de/shopping/men/nike-sb-dunk-ben-jerrys-sneakers-item-15485133.aspx,Nike
'Air Force 1' Sneakers,3.472,https://cdn-images.farfetch-contents.com/14/27/13/92/14271392_20466670_300.jpg,/de/shopping/men/nike-x-off-white-air-force-1-sneakers-item-14193141.aspx,Nike X Off-White
'SB Dunk' Sneakers,3.390,https://cdn-images.farfetch-contents.com/14/26/86/22/14268622_20251074_300.jpg,/de/shopping/men/nike-sb-dunk-sneakers-item-15110725.aspx,Nike
'Air Max 97 Jesus Shoes - Walk On Water' Sneakers,3.330,https://cdn-images.farfetch-contents.com/14/26/86/22/14268622_20251083_300.jpg,/de/shopping/men/nike-air-max-97-jesus-shoes-walk-on-water-sneakers-item-14727499.aspx,Nike
